EventId	Status	RequestTime	EndTime	TurnaroundTime	Pad
------------------------------------------------------------------------------
	0	D	0	0	0	A
	1	L	0	4	4	B
	2	L	2	6	4	A
	3	L	4	11	7	A
	6	D	10	12	2	A
	4	A	6	9	3	B
	5	L	6	16	10	A
	8	A	10	15	5	B
	7	L	10	21	11	B
	9	L	16	23	7	A
	13	D	22	26	4	A
	10	A	16	22	6	B
	11	L	20	28	8	A
	12	L	22	29	7	A
	14	L	24	30	6	B
	15	L	30	32	2	A
	16	L	32	35	3	A
	18	D	36	42	6	A
	20	E	40	44	4	A
	21	E	40	45	5	B
	17	L	36	45	9	A
	19	L	40	46	6	B
	22	L	42	48	6	A
	23	L	46	53	7	A
	25	L	48	54	6	A
	24	A	46	51	5	B
	27	L	52	61	9	A
	28	A	52	57	5	B
	26	L	50	63	13	B
	29	L	56	64	8	A
	30	L	58	65	7	A
	31	L	60	68	8	B
	33	D	64	70	6	A
	32	L	62	72	10	A
	34	L	66	73	7	A
	35	L	68	78	10	A
	37	A	72	75	3	B
	38	L	74	83	9	A
	39	A	74	81	7	B
	42	E	80	86	6	A
	43	E	80	87	7	B
	40	L	76	87	11	A
	36	L	72	88	16	B
	41	L	78	88	10	A
	45	L	88	95	7	A
	46	A	88	91	3	B
	47	L	90	96	6	A
	44	L	82	97	15	B
	48	L	92	99	7	A
	49	L	94	102	8	B
	50	L	96	104	8	A
	51	L	98	107	9	A
	52	A	100	103	3	B
	53	L	102	108	6	A
	54	L	104	111	7	B
	55	L	106	113	7	A
	56	L	108	114	6	A
	57	L	112	117	5	A
